cui,name
I,Bestimmte infektiöse und parasitäre Krankheiten
A00-A09,Infektiöse Darmkrankheiten
A00,Cholera
A00.0,"Cholera durch Vibrio cholerae O:1, Biovar cholerae"
A00.1,"Cholera durch Vibrio cholerae O:1, Biovar eltor"
A00.9,"Cholera, nicht näher bezeichnet"
A01,Typhus abdominalis und Paratyphus
A01.0,Typhus abdominalis
A01.1,Paratyphus A
A01.2,Paratyphus B
A01.3,Paratyphus C
A01.4,"Paratyphus, nicht näher bezeichnet"
A02,Sonstige Salmonelleninfektionen
A02.0,Salmonellenenteritis
A02.1,Salmonellensepsis
A02.2,Lokalisierte Salmonelleninfektionen
A02.8,Sonstige näher bezeichnete Salmonelleninfektionen
A02.9,"Salmonelleninfektion, nicht näher bezeichnet"
A03,Shigellose [Bakterielle Ruhr]
A03.0,Shigellose durch Shigella dysenteriae
A03.1,Shigellose durch Shigella flexneri
A03.2,Shigellose durch Shigella boydii
A03.3,Shigellose durch Shigella sonnei
A03.8,Sonstige Shigellosen
A03.9,"Shigellose, nicht näher bezeichnet"
A04,Sonstige bakterielle Darminfektionen
A04.0,Darminfektion durch enteropathogene Escherichia coli
A04.1,Darminfektion durch enterotoxinbildende Escherichia coli
A04.2,Darminfektion durch enteroinvasive Escherichia coli
A04.3,Darminfektion durch enterohämorrhagische Escherichia coli
A04.4,Sonstige Darminfektionen durch Escherichia coli
A04.5,Enteritis durch Campylobacter
A04.6,Enteritis durch Yersinia enterocolitica
A04.7,Enterokolitis durch Clostridium difficile
A04.70,"Enterokolitis durch Clostridium difficile ohne Megakolon, ohne sonstige Organkomplikationen"
A04.71,"Enterokolitis durch Clostridium difficile ohne Megakolon, mit sonstigen Organkomplikationen"
A04.72,"Enterokolitis durch Clostridium difficile mit Megakolon, ohne sonstige Organkomplikationen"
A04.73,"Enterokolitis durch Clostridium difficile mit Megakolon, mit sonstigen Organkomplikationen"
A04.79,"Enterokolitis durch Clostridium difficile, nicht näher bezeichnet"
A04.8,Sonstige näher bezeichnete bakterielle Darminfektionen
A04.9,"Bakterielle Darminfektion, nicht näher bezeichnet"
A05,"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert"
A05.0,Lebensmittelvergiftung durch Staphylokokken
A05.1,Botulismus
A05.2,Lebensmittelvergiftung durch Clostridium perfringens [Clostridium welchii]
A05.3,Lebensmittelvergiftung durch Vibrio parahaemolyticus
A05.4,Lebensmittelvergiftung durch Bacillus cereus
A05.8,Sonstige näher bezeichnete bakteriell bedingte Lebensmittelvergiftungen
A05.9,"Bakteriell bedingte Lebensmittelvergiftung, nicht näher bezeichnet"
A06,Amöbiasis
A06.0,Akute Amöbenruhr
A06.1,Chronische intestinale Amöbiasis
A06.2,Nichtdysenterische Kolitis durch Amöben
A06.3,Amöbom des Darmes
A06.4,Leberabszess durch Amöben
A06.5,Lungenabszess durch Amöben
A06.6,Hirnabszess durch Amöben
A06.7,Amöbiasis der Haut
A06.8,Amöbeninfektion an sonstigen Lokalisationen
